question,1,2,3,4,answer
The law has no effect  on us for the time being. ,effect,affect ,effective ,affectation,effect 
"H-1B visa is exclusively available for workers, who possess a bachelor's degree or experiences of professional fields. ",exclude,exclusion,exclusive,exclusively,exclusively
"The island is not only known for its beautiful scenery, but historic remains. ",but,and,or,between,but
ST Appliances has conducted extensive surveys to maintain its market share in Europe. ,it,its,them,their,its
"Due to the unexpected bad weather, every flight has been delayed, which made passengers very inconvenient. ",Due to,Because,Despite,Except for,Due to
We sincerely regret that there will be a slight delay in shipping the order that you placed yesterday. ,who,that,whom,of which,that
The terms of the agreement between the firms are currently under consideration. ,current,currently,currency,more currently,currently
She knows Richard so well that she can say what he is doing at any time. ,that,which ,whether ,what,what
Please fill out the form on the table in order to provide you with an accurate estimate. ,by,to,for,with,with
Volunteers are required to submit the application along with their resumé. ,submits,to submit,submitting,to be submitted,to submit
"If the applicant fluently spoke any foreign language, he would be hired for the position. ",was hired,will be hired,would be hired,would have been hired,would be hired
"The new director still hasn't been chosen, but the position has been narrowed to three candidates. ",yet,still,already,gradually,still
Some studies revealed organic food can generally keep our body more healthy than expected. ,healthy,healthier,healthily,health,healthy
Hardly have the market conditions throughout the country been favorable for purchasing new housing. ,Ever,Rare,Hard,Hardly,Hardly
"After discussing all conditions, both of the firms have finally decided to do a business with each other. ",has,have,having,to have,have
The company finally decided to hire him as he was more qualified than other candidates. ,more qualified,most qualified,more qualifiedly,most qualifiedly,more qualified
"Every client should check the results of their financial goods, based on the newly consolidated manual. ",consolidate,consolation,consolidator,consolidated,consolidated
Most of the part-time workers have been given no pay raise yet for the last three months. ,gave,are given,will be given,have been given,have been given
"Next month, the board of directors will be held in the conference room to discuss new marketing strategies. ",hold,be held,will be held,will be holding,will be held
Customers are eligible for obtaining special discounts by enrolling in the course at least two months in advance. ,enrolling,enrolled,to enroll,enrollment,enrolling
The unemployment rate of most developed countries through the world ranges between 1.8% and 3.4%. ,active,separate,developed,unconventional,developed
Please do not forget to enclose the bottom part of the invoice when you pay the bill by mail. ,enclose ,enclosed,enclosing,to enclose,to enclose
Employees are asked to order office supplies solely through HQ Office Supplies. ,ask,asked,asking,to ask,asked
Most workers in the urban area commute to their work by public transportation. ,commute,commutes,commuting,to commute,commute
We would like to know the departure date and the expected  arrival date. ,expect,expecting ,expected ,expectation,expected 
"Through his diligence and dedication, Mr. Smith has been proved worthy of a promotion. ",his,himself,he,him,his
"During his lifetime, Frederick Jones was given a number of awards for his achievements. ",While,When,For,During,During
Manuals have been distributed to all supervisors detailing the operation of the new computer system. ,operation,operative,operator,operate,operation
"If it rains, the party will be held in the main banquet hall instead of the garden. ",instead of,because,despite,when,instead of
Everyone involved in the Sanderson Project is reminded to hand in a record of hours worked by Monday at 5:00 P.M. ,Some,Everyone,Whoever,Nothing,Everyone
All registration forms to attend the annual conference should be accompanied by copies of appropriate identification. ,by,from,into,with,by
"After considerable effort, we have managed to redesign the keyboard to address the concerns of the client. ",consider,considerable,consideration,considerably,considerable
The weather forecast reported that it will probably rain in the afternoon. ,may,probability,probable,probably,probably
Mr. James has worked in the shipping firm for seven years. ,for,ago,since,during,for
"The board of directors was held at the conference room on July 8, 2008. ",at,as,in ,on,on
"In case  you have trouble finding the building, I'll give you the map and their number. ",In case ,Unless ,Though ,So that,In case 
"If you need more information about candidate's requirements, please feel free to call our office. ",more,either,many,one,more
"Lee contributed fifty dollars, but he wishes he could contribute another fifty . ",one other fifty dollars,the same amount also ,another fifty ,more fifty dollars ,another fifty 
"That building, the interior of which is much better than the outside, was designed by the same architects. ",it,that,which,what,which
A change-of-address notice should be sent to your  bank as soon as possible after you move. ,you,your ,yours ,yourself,your 
Thanks to the cultivation  of new business partnership by Chem Co.’s president， the company is expected to increase earnings this year. ,attempt,cultivation ,reflection ,process,cultivation 
Building a new cafeteria will be up to  the students themselves. to ,to,with,for ,against,to 
Hisakawa recording equipment is used in professional applications， but unlike  most other high-tech equipment， it is easily operated by nonspecialists as well. ,despite,unlike ,aside ,except,unlike 
"All this week, Yales Clothing Store is offering discounts  of up to 50% on S and B products. ",discount ,discounts ,discounter ,discounting ,discounts 
The recently redecorated Grand Hotel contains more than 10 elegant  rooms. ,watchful,tentative ,elegant ,expecting,elegant 
I'll give you five minutes to work  out this question. ,solve ,find ,answer ,work ,work 
Perth Industries economical  use of office space has been widely adopted by other businesses seeking to reduce costs. ,economical ,economy ,economist ,economize,economical 
The Hugees-Fring Company has offered  mr. Suzuki a job in Malaysia. ,offered ,hired ,relocated ,asked,offered 
The extraordinary success of the fund-raising event went far beyond  the board’s modest expectations. ,beyond,overly ,topped ,plus,beyond 
I know what the job is like because I've done it myself  . ,for myself,by myself ,to myself ,myself ,myself 
Robinson Industries has so many new accounts that we are finding it increasingly  difficult to service our customers' machinery. ,increase ,increasingly ,increased ,increasing,increasingly 
A number of safety inspectors will be sent to visit the oil refinery and verify the site‘s compliance  with safety regulations. ,application ,compliance ,reliance ,tolerance,compliance 
"If you wish to charge this order to your credit card, please provide your account number and expiration date. ",of ,at ,by ,to,to
Summer vacation is about to begin and the students are elated  . ,sedate,educated ,inundated ,elated ,elated 
Mr. Yamamoto is determining  how best to utilize the company's strategy consultant. ,preserving,determining ,commencing ,creating,determining 
"The Watkins Company has interest in many countries, and its officers travel overseas often. ",interested ,interesting ,interestingly ,interest,interest
Syna Corporation’s yearly earnings were not impressive enough  to attract more investors. ,enough ,fully ,quite ,rather,enough 
"To ensure an image appears on the subsequent sheets within a few seconds, paper should be loaded  into the copy machine. ",invited ,prepared ,loaded ,commended,loaded 
"Compared to others in its field, WJR Enterprise places greater  emphasis on research and development. ",greatly ,greater ,more greatly ,as great as,greater 
"Before Mr. Smith and Kaori Kimura moved to offices on the third floor, both of them  had been in temporary office space. ",their,them ,theirs ,they,them 
"As the attached itinerary indicates, the hospitality team should expect the new client at  four o'clock this afternoon. ",in ,of ,at ,to,at 
Our managers have at least eighty years of combined experience in the food industry. ,cooperative,designated,combined,designed,combined
"As always, John McHale was great in his role, but my friends didn’t like the movie that much since the ending was too predictable and his supporting actors were real amateurs. ",predicting ,predictable,predicted ,predictably,predictable
Electronic transfers are a convenient way for customers to move money from one account to another  without having to visit the bank. ,one ,other,another ,one another,another 
"It is our belief that all the members of our organization put in their best effort for their own good as well as for the company’s, while  also setting aside time for their families, being both a good parent and a good spouse. ",while ,appreciation,because ,people,while 
The furniture which you ordered three days ago will be delivered today or tomorrow. ,or,until,nor,and,or
 It is the windchill factor which gives the best idea of how a person will feel outside on a cold day. ,Is,There is,Because,It is,It is
"Even though the labor costs were significantly low last quarter, Solomon Inc. failed to generate profits. ",Even though,As,Nevertheless,In spite of,Even though
"After the floods subsided  , the people could return to their homes in villages. ",swelled up ,subsided ,collided ,took off ,subsided 
"A memorial in Washington D.C., immortalizes Vietnam War heroes  by listing all who were killed in battle or missing in action. ",heroes ,intervention ,casualties ,supporters,heroes 
"Everyone has a right to enjoy his liberty, much more  his life. ",still better,much better,much more ,much still ,much more 
"In addition to  the atmosphere of a room, certain smells have been shown to increase work efficiency. ",When added to ,What is added to ,In addition to ,To add to ,In addition to 
He wondered if his employer would sanction  his actions. ,sanction ,arrest ,concern ,annoy ,sanction 
Some shoppers wonder why the home appliances are so expensive. ,that,why,when,which,why
The research has shown that people usually prefer using public transportation to driving their own car due to high oil prices. ,usual,usually,more,many,usually
"By the end of next month, she will have been in Singapore for exactly two years. ",will have been,has been ,is ,was,will have been
"Leaving aside her biases , the department chair responded objectively to the issues raised in the meeting. ",ability ,facts ,knowledge ,biases ,biases 
"Provided  you feel well enough, you can go back to work on Monday. ",Provided ,On account of ,In case ,Unless,Provided 
Mr. James participated in the world trade fair a few days ago. ,attended,attends,participated,participates,participated
Most employees at our business currently commute to work by public transportation. ,commuted,commuters,commute,commutes,commute
It has been ten years since I quit the sales manager of Thomas Smith & Co. ,There have been,It has been,They are,It was,It has been
The inspection of the production line will be conducted by the maintenance team soon. ,conduct,conducted,conducting,conduction ,conducted
The requested information should be obviously sent to the accounting office. ,request,requesting,requested,requests,requested
It's necessary for employees to present their creative ideas for invention of a new product. ,to present,presented,presents,presenting,to present
"Eating foods with less fat, calories and cholesterol has been proven  to be a healthier course to take. ",experimented ,a theory ,proven ,suggested ,proven 
"All you lucky contestants will be given a guided tour of the station before heading to the studio, where  you will be given a brief orientation. ",where ,which,what ,when,where 
"Due to the rise in cost of raw materials and labor, we have no choice  but to raise the prices of our new line of casual shoes as of January 1. ",decision ,preference,choice ,selection,choice 
How soon  did his speech end ,for ,long ,soon ,fast ,soon 
Thousands of insomniacs have turned  to sleeping pills for some relief. ,turned ,yearned ,earned ,leaned,turned 
"If we want to finish the project by the deadline, we will have to request for some outside professional help and put in overtime. ",had ,have had,must have ,will have,will have
"Come in and enjoy the finest selection of apparels and accessories available, which are sure to meet whatever taste you may have. ",whenever ,whatever,however ,whomever,whatever
Until recently the old professor lived in much the  same way as before. ,the much ,much the ,the most ,most the,much the 
You know that I make it my business to care for  my customers. ,care for,guard ,concern ,watch out for ,care for 
"Unless i start eating more healthy food especially less fattening food, I may not be able to see my son and daughter grow up to become adults. ",Until ,Unless,Although ,Since,Unless
If you don't watch the news on the television it is still possible to keep abreast  by reading the newspaper. ,ahead,a jump ,abreast ,a step ,abreast 
"Since the new manager took over, our restaurant has become one of the most popular places, mainly due to  our excellent food and friendly service. ",because ,according to,due to ,in spite of,due to 
Exercise can be a great source  of stress relief. ,source,workout ,pain ,problem,source 
"Along with  the recent industrial growth in the region came increased air pollution, raising the question of whether the development is worth the damages to the environment. ",Along with ,Because,Upon ,Hence,Along with 
"Before arriving at the airline’s check-in desk, I was clearly told by my travel agent that I could check in two pieces of luggage at no extra charge. ",by ,at,from ,over,at
"The police were able to find no evidence against her, which surprised no one who knows her well. ",that,who,which,what,which
Teaching positions are becoming harder to find . ,hunt,picture ,find ,judge,find 
"My best friend, who is an immigrant from Korea, speaks with an accent  , but fortunately, he will have no problem finding a job since he has the ability to speak two other languages.",accent ,uncle,attitude ,apprehension,accent 
Some plans are being developed to improve the access to the city either by bus or by train. ,nor,and ,with,or,or
"The suburban golf course is owned by the city, but run by a private individual. ",so,also,despite,but,but
An individual who has a bad attitude toward customers or clients can cause a decrease in sales. ,who,whom,whose,whoever ,who
All of the workers went on  strike. ,out,with ,in ,on ,on 
"Every month, the magazine presents an in-depth story about a local exemplary company which is noted for its successful operation. ",to,as,for,of,for
The marketing director says that the annual report could have been organized efficiently if we had reviewed all the data more carefully. ,organize,can be organized,have organized,have been organized,have been organized
"Although only regular employees have been given the cash prize so far, temporary workers are also eligible for consideration now. ",eligible,allege,elegant,alleviate,eligible
I think she is right to a certain  extent. ,very ,particular ,some ,certain ,certain 
Workers on the day shift can enter the building through the front door but those who work at night are requested to use the back door. ,he,they,these,those,those
You can travel pretty comfortably because I have arranged for you to proceed directly to your destination without any layover. ,directly,directing,to direct,direction,directly
"Responding to the recent announcement of lowering interest rates, investors are reentering the stock market cautiously . ",cautiously,caution,cautious,casually ,cautiously
Hong Kong is enjoying a renewal of its urban area as a cultural center of the whole Asia. ,renew,renewable,renewal,renewed,renewal
Investment projects at Speedy Company often changed considerably after they were examined by the committee. ,considerable,consider,considerably,consideration,considerably
The board of directors announced there would be no merger with our competitor unless the leading role operating the future companies is guaranteed. ,if,unless,without,though,unless
The controversial program was initially designed to enhance employees' morale and increase productivity by offering various incentives. ,develope,disinterested,designed,designated,designed
"He works six days a week, everyday save  Sundays. ",save,including ,except that ,all but ,save 
Requests for revisions to the membership account must be submitted in writing. ,of,on,at,in,in
The Douglas Company continues to be the supplier's most important client throughout South African market. ,impartial,important,reliant,successive,important
Brown's Bakery will officially open on July 2nd when the owner's widely advertised homemade bread is released for the first time. ,temporarily,permanently,previously,officially,officially
Patrons can purchase advance tickets either at the box office or through our Web site. ,nor,and,or,so,or
We will happily refund your money provided that you return your merchandise with a recent store sales slip. ,happy,happily,happiness,happier,happily
"As Stellar Inc., moves forward into a new stage of its development, the prospect of enormous growth is waiting for us. ",prospect,prospects,prospected,prospective,prospect
"As of August 1st, listening to the radio without the headset is prohibited in the workplace because noises are disturbing others. ",disturbing,disturbed,to disturbing,disturb,disturbing
Where can I get a good discount on  my flight ticket ,for ,at ,off ,on ,on 
Attendees can have more effective communication in a small-sized discussion group than they can in a large one. ,to better,much than,than,better,than
"A total of 30 representatives will attend the annual convention, all of whom will be bringing a spouse. ",them,who,whom,which,whom
"According to research, the more complicated the curriculum becomes, the steeper the curved line for accomplishment becomes. ",even steep,more steep,steeper,most steep,steeper
"In bacteria and in other organisms, it is the nucleic acid DNA that provides the genetic information. ",where is,it is,who is,and is,it is
"Insadong Street is a colorful street with tiny shops selling textiles, jewelry, and also traditional medicine. ",also,but,yet,it,also
"To improve a work atmosphere, managers should make it a point to recognize employees' accomplishments publicly. ",to recognize,recognizing,recognizes,recognized,to recognize
"The customer service representative can meet with you anytime from4 o'clock onwards, but not earlier. ",from,at,during,between,from
The advertising campaign has exceeded all expectations; we have therefore decided to do it in seven more cities. ,however,therefore,in which case,in contrast,therefore
Webber Foods Company blamed rising taxes for the dramatic increase in prices of their products. ,from,with,of,for,for
Completion of our customer satisfaction questionnaires should take roughly half an hour. ,Complete,Completion,Completely,Completed,Completion
"When you design your training program, you must take the time to consider carefully what you wish to accomplish. ",if ,that,what,which,what
The Morrison project could have been finished on time if all of the required tasks had been distributed equally . ,equally,equal,most equally,more equal,equally
"Mr. Chang came up with a set of corrective measures, which he thinks will remedy this unsatisfactory situation. ",who,whose,which,what,which
"Located in the heart of Seoul, the Korean Center for Cultural Heritage promotes the understanding of its traditional cultures. ",Located,Locating,Locates,Locate,Located
Grand Hotel has received many customer complaints about their constantly busy telephone lines. ,busy,hurried,rapid,quick,busy
"If it is strictly followed , the new system of quality control should be nearly foolproof.",follow ,follows,followed,following,followed
Healthy eating can be one way of fighting against  disease. ,against,over ,for ,through ,against 
Guests are welcome to tour the rest of the resort and other facilities  and ask one of our staff members any questions you may have. ,qualities ,categories,facilities ,problems,facilities 
It was John Cabot who first reached North America under the flag of the English monarch. ,Where,It was,He was, It was him,It was
The river meanders from north to south. ,spurts ,spins ,carves ,meanders,meanders
"According to United Nations estimates, at least half the adults  on this planet cannot read or write. ",an adult,adults ,the adults ,the adult ,the adults 
The advertising agency is paid to develop the message that will be communicated to the target audience. ,they,whatever,that,whichever,that
Rising unemployment is yet another symptom of progress toward a time when machines that are both 'strong' and 'smart' will make human labor obsolete . ,renewable,obsolete ,leisurely ,cheap ,obsolete 
The senator brought up  the question of the treaty negotiations. ,brought up ,rose ,made up for ,caught up,brought up 
The food at the restaurant is great but the manager doesn’t stop there and always tries to provide extraordinary service  to each and every customer. ,serve ,servicing,service ,server,service 
"Since the tragic disaster in New York, airline security and increased anti-terrorism procedures have created longer waits and delays at airports. ",Because ,Since,Although ,Despite,Since
"The Johnsons prefer to travel overseas, especially in Southeast Asia, by themselves rather than as part of a group tour. ",itself ,herself,himself ,themselves,themselves
I had to walk briskly  to keep warm on that very cold night. ,steadily,excitedly ,aimlessly ,briskly ,briskly 
"The award is named in honor of Henry James, the founder of the Environment Protection Organization. ",found,founder,foundation,founded,founder
The clerks wondered whether customers would make any purchases or not. ,what,that,how,whether,whether
This manual will enable users to familiarize themselves with the equipment. ,them,him,himself,themselves,themselves
"In the parts division of Donovan Manufacturing, workers are under pressure to increase production rate fairly. ",pressure,pressing,press,pressed,pressure
The proposals on the way to save spendings should be examined thoroughly . ,thorough,thoroughly,through,thought,thoroughly
Howard took so little  interest in the work that eventually he was dismissed. ,such few,so little ,such a few ,so a little,so little 
"I have already written to Mr. Harris, who  will no doubt be contacting you in the near future. ",who ,whom ,whose ,which,who 
"If the complaints had been handled carefully, the image of our firm would have been improved significantly. ",were handled,had handled,had been handled,are handled,had been handled
In recent years  Americans have spent more on household affairs than on housing. ,From recent years,In recent years ,Recent years before,Since recent years,In recent years 
Fees are non-refundable once the enrollment in the course has been processed. ,once,and,yet,still,once
The extra copies of brochure are so detailed that all customers will get information of our products. ,we,us,our,ourselves,our
ABC Corporation is exceptional in that it guarantees that even part-time employees are eligible for paid holidays. ,eligible,valuable,advisable,compatible,eligible
"The client was very pleased with the trousers, but he requested that the length be altered . ",widened,qualified,altered,diversified,altered
"After returning from a long business trip, Mr. Wolfson was advised to take a rest throughout the remainder of the week. ",remainder,remaining,remain,remained,remainder
There will be delays in implementing renovations to the Pittsburgh assembly line. ,places,inclusions,oppositions,delays,delays
The legislators from Orange County unanimously rejected the proposed policy on industrial subsidies. ,rejected,rejecting,rejects,were rejected,rejected
The electrical problems had evidently been resolved by the next morning when trains were running as scheduled. ,evident,evidently,evidential,evidence,evidently
A recent study indicated that people who eat breakfast regularly have a tendency to exercise more and stay healthier than those who skip breakfast. ,those,such,this,someone,those
Six out of ten major market areas are located within a six-hundred-mile radius of our main production facility. ,through,among,into,within,within
Mothers of a local day care center have decided to pitch in  a couple times a week to help out. ,pitch in ,stick in ,want in ,give in ,pitch in 
"Should there be high requests, we will have to increase the rate of production. ",If,Had,Should,Were,Should
The accounting department is having difficulty saving company budgets. ,saved,saving,to save,saves,saving
"As soon as the products arrive , we will be distributing them to respective divisions. ",arrive,arriving,arrival,arrived,arrive
"In combination  with other preventative measures, drinking sufficient water can help you stay fit during the winter. ",combination ,condition,coalition,contribution,combination 
"Since the workers were fired, they have been going on a strike against the decision. ",went,have been going,will go,goes,have been going
"If Ms. Huge showed good performance, she would be posted to the Hawaiian branch. ",shown,shows,showed,had shown,showed
"To meet customers' needs, every member at TJ Foods aims at better service. ",Meet,Meeting,To meet,Met,To meet
"Before ordering software programs, consumers need to consider whether the products are compatible with their existing systems. ",compatible,undeniable,favorable,amenable,compatible
"Thomas Edison attributed  most of his success to hard work, claiming 99% of success was perspiration and only 1% inspiration. ",devoted,attributed ,computed ,prescribed,attributed 
Ingrid’s personal trainer suggested that she go to the gym regularly to get in shape. ,go,goes ,has gone ,would go ,go
