question,1,2,3,4,answer
"According to the memo, Miriam’s team is [MASK] for finalizing the revamp of the company’s brochure, which must be submitted on October 8. ",responsible ,responsibly ,responsibility ,responsibleness,responsible 
The client rejected the advertising banner produced by Adworks Incorporated because it [MASK] described the specifications of the product. ,profoundly ,certainly ,extensively ,incorrectly,incorrectly
Restaurant patrons are complaining about [MASK] the taste and the appearance of some of the dishes on the menu. ,every ,this ,some ,both,both
A representative of the firm spent the morning [MASK] for better wholesale prices with a raw materials supplier. ,accomplishing ,counseling ,discharging ,negotiating,negotiating
Mr. Jackson was [MASK] to join some of his coworkers for lunch because he was worried that he might be late for a meeting at 1 P.M. ,hesitant ,hesitation ,hesitate ,hesitantly,hesitant 
The car model was recalled [MASK] the manufacturer after customers began complaining that the brake sometimes got stuck at certain speeds. ,by ,of ,till ,to,by 
The express train service to Manchester will be temporarily suspended from 12 noon to 2:00 p.m. [MASK] a damaged railroad track is being repaired. ,upon ,while ,once ,through,while 
"Once the maintenance manager [MASK] the proposed security system for the building, the staff will install surveillance cameras in the lobby. ",approvals ,approves ,approval ,approving,approves 
The new advertising campaign emphasized that Cosby compact cars are as energy efficient as any other automobiles of [MASK] kind. ,they ,them ,their ,themselves,their 
Mike Cooper received an award for investigative writing [MASK] he never completed a course program in journalism or other writing course. ,provided that,decidedly ,concerning ,even though,even though
"Only two of the candidates were [MASK] for the assistant managerial position, but the company decided to interview an applicant with good references. ",qualified ,adjusted ,converted ,restricted,qualified 
The supermarket guarantees that all orders made on its website will be [MASK] delivered to the customer within an hour after completing the order. ,prompt,promptness ,prompts ,promptly,promptly
All of the students enrolled in the special school are known to have displayed exceptional intelligence or an impressive musical talent [MASK] in childhood. ,annually,currently ,presently ,early,early
One [MASK] of the health campaign is to help the general public become aware of the dangers of using MSG as a seasoning when cooking. ,purposely,purposeful ,purposed ,purpose,purpose
The workers at the Italian restaurant worked round the clock [MASK] the establishment would be ready for its grand opening the next morning. ,in case,so that ,due to ,as regards,so that 
Maintenance checks of all factory equipment should be performed at least twice a year to [MASK] that the machines are all in good working order. ,endorse ,secure ,maintain ,guarantee,guarantee
"Mr. Clinch, the photographer who expressed an interest in working for us on a freelance basis, came by the studio today to leave [MASK] résumé and portfolio. ",he ,him ,his ,himself ,his 
"The construction industry suffered a [MASK] due to the economic crisis, but is expected to recover by the end of the year. ",disrepair,discount ,contract ,decline,decline
The Crystal Theater will [MASK] the musical performance this week because several performers have come down with the flu. ,be cancelled,cancels ,cancel ,cancelling,cancel 
"When tickets to a soccer match between two top teams were offered online, they were completely sold out [MASK] a few hours. ",within,through ,before ,among,within 
"[MASK] the author’s newest novel went on sale, it quickly sold millions of copies despite getting mostly negative reviews. ",Whenever,Once ,Until ,Though,Once 
"Janet Miller returned from her month-long trip to France with an exquisite painting, [MASK] was purchased at a small gift shop in Paris. ",that,what ,which ,where,which 
"Although the comments Steve gave during the discussion were [MASK] ideas, the boss asked him to prepare a proposal and present it at the next meeting. ",seldom,rarely ,slightly ,only,only
A month-long exhibit of Carlisle Hartnett’s new African-themed sculpture collection will be [MASK] at the Cultural Museum of Arts beginning September 15. ,holding ,held ,hold ,holds,held 
"In response to customer feedback, Spindles Store [MASK] a consultation desk for customers who need information on appropriate fabrics for their clothing designs. ",creating,is created ,will be created ,will create,will create
"Before closing the shop, please make sure that [MASK] of the flower orders have been delivered to their respective recipients. ",another ,all ,every ,little,all 
"Nationwide sales of cellular phones is at an all-time low this quarter, but Arwel Mobile was able to [MASK] a 10 percent increase in profits over the previous quarter. ",realized,realizes ,realize ,realizing,realize 
The firm’s management is concerned about [MASK] and has hired a consultant to analyze the company’s existing measures and make recommendations. ,exchange,security ,comfort ,material,security 
Sales of textbooks jump by more than 100 percent when students purchase books on the [MASK] reading list at the beginning of each school term. ,permitted,suitable ,dispensable ,required,required
The manager told us that new projects would be put on hold while the company is undergoing a [MASK] of reorganization. ,period,measure ,section ,closure,period 
"The deadline for the annual report is fast approaching, so the manager asked the staff to work [MASK] . ",quickly,quickness ,quick ,quickest,quickly 
The host decided to hire a catering company [MASK] preparing the food herself so that she could attend to other matters. ,except for,along with ,instead of ,due to,instead of 
All department heads have been directed [MASK] the operations manager to inform their staff about the annual medical checkup on Thursday. ,by ,of ,as ,in,by 
The company does not accept [MASK] for the seminar on their Web site since participants are required to register personally at the Career Pro office. ,reservations ,reserves ,reserved ,reserve,reservations 
Ms. Thatcher was [MASK] in charge of factory operations while the plant manager was in Qatar for a weeklong seminar. ,provisionally,comparably ,vitally ,optionally ,provisionally 
Anne decided to buy a [MASK] of cupcakes because she was not sure which flavors her coworkers preferred. ,range,variation ,variety ,category,variety 
The original speaker [MASK] by the organizer Patricia Stern because he will be out of the country for the next few weeks. ,replaced,are replacing ,has replaced ,will be replaced,will be replaced
The RAD Magazine Club [MASK] members with e-mail updates on discounted subscription rates and new magazine offerings. ,contributes,requires ,provides ,submits,provides 
The new social networking website gained millions of members in such a short period of time that it was considered [MASK] . ,conventional,unprecedented ,original ,productive,unprecedented 
"Although Carl Reyes was surprised about his [MASK] , all the other staff at the company had expected it. ",promotion ,promote ,promoted ,promotes,promotion 
The manager reminded the staff that [MASK] planning to attend the company outing should inform Grace Ronin immediately. ,anyone,who ,these ,another,anyone 
"As a policy, Cyclopes Travel and Tours only employs tour guides with [MASK] from nationally-recognized training schools. ",certify ,certified ,certifiable ,certification,certification
"Ceiling material made of recycled cellulose fiber is environmentally-friendly, a [MASK] of roofing that is considered safe and nonpolluting. ",disposition ,characteristic ,trademark ,peculiarity,characteristic 
A collection [MASK] Italian sculptures dating back to the Renaissance is featured in this month’s exhibit at the Monkton Museum. ,for,of ,on ,into,of 
The managing assistant said she [MASK] the furniture in the office to give the staff more privacy. ,arrange ,would arrange ,arranging ,had been arranged ,would arrange 
The curator and his assistant met with the marketing [MASK] to discuss a media plan for the museum’s exhibits. ,director,ruler ,custodian ,entrepreneur,director 
The department store’s display designer will present a proposal [MASK] prepared for the autumn season’s window displays. ,he,him ,his ,himself,he 
"During the trial, a witness presented [MASK] proof that an accounting employee revealed company secrets to a competitor. ",incontestability ,incontestably ,incontestable ,incontestableness,incontestable 
The magazine provides readers with a(n) [MASK] of the best academic institutions and universities across the country. ,initiative ,procession ,rating ,pricing,rating 
The organization is hoping [MASK] obtain funding for its educational and health projects for out-of-school youth. ,for ,to ,with ,by,to 
"[MASK] Faizen Motors has been operational for only six months, it has already recouped 45 percent of its initial investment. ",Even though ,Owing to ,As long as ,In spite of,Even though 
Passengers are not permitted to board an aircraft unless they present a valid boarding pass [MASK] a passport to airline agents at the gate. ,but ,and ,also ,for,and 
The corporation interested in acquiring the new computer firm kept the [MASK] of the negotiations short by offering to buy out a majority share of the company’s stock. ,length ,size ,field ,attention,length 
"After the hurricane left the region, local officials [MASK] the cost of damage to the city to be ten million dollars. ",taxed ,inspected ,assessed ,reviewed,assessed 
"At the time the author’s first novel was printed, the publisher considered an initial printing of 10,000 copies to be [MASK] . ",sufficient ,competent ,tolerable ,exuberant,sufficient 
The researchers concluded that gender bias is one reason for the [MASK] income inequality in both developing and developed countries. ,rising ,rise ,rises ,risen,rising 
"Soon after the company advertised its matchmaking services, the phones kept ringing [MASK] the day. ",despite ,until ,throughout ,following,throughout 
"The basketball players performed at their best, [MASK] beating the opposing team by more than 20 points. ",expert ,expertly ,expertise ,expertness,expertly 
"The managers are still reviewing the proposal, but they will [MASK] you of their decision once it is made. ",invest ,inform ,caution ,undertake,inform 
It became [MASK] that Deirdre Prism’s new cosmetics line had potential after the test marketing phase showed very positive results. ,apparent ,visual ,substantial ,ordinary,apparent 
Increasing competition in the tourism sector [MASK] hotels to drastically reduce their rates and offer special promotional deals. ,cause ,was caused ,causing ,has caused,has caused
"At the forum, businessmen and trade officials discussed import policies, income taxes, and other [MASK] issues. ",liable ,related ,beneficial ,concerned,related 
"If you have problems filling out the form and need [MASK] , please refer to our FAQ page or request an online representative to help you. ",assist ,assists ,assistance ,assisted,assistance 
A spokesperson for Green International recently [MASK] that the organization would embark on a clean-up campaign in September. ,interacted ,announced ,obligated ,exhibited,announced 
"In case the shopper purchases a garment of the wrong size, the item [MASK] at the outlet where it was bought. ",were exchanged ,is exchanging ,can be exchanged ,can exchange,can be exchanged 
A spokesman for the company said that management is working hard to reach a satisfactory [MASK] with the owners of Goldstar Corporation. ,accommodation,adaptation ,correspondence ,transformation,accommodation 
The financial reports for the quarter [MASK] by the senior accountant before being submitted to the financial manager for review. ,summarizes,are summarized ,summarizing ,summary,are summarized 
"The first candidate was knowledgeable about the hotel industry, but the HRD hired Ben Jones because of his [MASK] attitude. ",positive ,partial ,specific ,explicit,positive 
"The Well-Being Center, an organization providing for the health needs of women, will be closing their doors after twenty years of [MASK] to the community. ",serve ,service ,servings ,server ,service 
The news about Mr. Young’s [MASK] to chief financial officer of Scottsdale Holdings was featured in several local newspapers. ,commission ,intention ,allocation ,promotion,promotion
Healy Recreation Park’s financial report indicates that the Nature and Wildlife Foundation [MASK] contributing money towards the park’s maintenance for the past six years. ,is,has been ,was being ,to be,has been 
"[MASK] a top designer and manufacturer of mobile phones, Aardvark Incorporated is now selling a majority of its shares to a competitor. ",Formerly,Unbearably ,Exactly ,Generally,Formerly 
Customers applying for a new passport must complete the form and [MASK] the stub to be able to claim the document. ,retain ,retaining ,retained ,retains,retain 
Mary Jameson is competing [MASK] other amateur pianists who nonetheless have more experience and training than she does. ,over,toward ,without ,with,with
"The instructions on the label state that a [MASK] amount of lotion must be used to heal and soothe dry, damaged skin. ",generously,generous ,generousness ,generosity ,generous 
Readers discussed the author’s upcoming book on online forums for months [MASK] it was published and distributed to bookstores. ,given ,before ,despite ,now that ,before 
"With rumors of reduced economic activity circulating, investors have been [MASK] considering whether or not to sell their stock. ",abundantly,divisively ,cautiously ,impressively,cautiously 
"Having established more than 30,000 branches globally, Q-Rush has been [MASK] one of the most successful convenience store franchises in the world. ",history ,historical ,historicism ,historically,historically
"Since its broadband packages became more [MASK] , Oneida Communications has been the preferred Internet service provider in Detroit. ",likely ,directed ,estimated ,affordable,affordable
Members of the audience were [MASK] with the performance and showed their appreciation by applauding loudly. ,delighting,delighted ,delightedly ,delightful,delighted 
"[MASK] the contenders for the acting awards were announced, the entertainment community began speculating who the winners would be. ",Provided that ,Soon after ,No matter how ,Even though,Soon after 
"Although the topic for the workshop is a popular one, the organizers will [MASK] the number of participants because of the lack of space. ",limit ,hinder ,assign ,shorten,limit 
[MASK] may need to submit additional documents with your loan application to verify your credit rating. ,You ,Your ,To you ,Yours,You 
The employees are [MASK] whenever the director walks around the office to observe what everyone is doing. ,content,indifferent ,passive ,nervous,nervous
Jeffrey Warren purchases [MASK] and renovates them before putting the units on the market for commercial and residential use. ,buildings,building ,builders ,builds,buildings 
"Although Ms. Hamilton rejected the terms of the contract, she [MASK] requested the company for a renegotiation. ",besides ,later ,otherwise ,even,later 
Experts do not think that the use of alternative sources of energy is an [MASK] solution to high power costs. ,economically ,economy ,economical ,economics,economical 
Many investors sold their shares of Socal Firm [MASK] the value of the company's stock began plummeting. ,during ,now ,once ,then,once 
"The performance was cancelled [MASK] the blizzard, and the ticket holders were offered the choice of a refund or tickets for a future concert. ",as of ,due to ,even if ,now that,due to 
Customers become [MASK] when they don't receive an immediate and satisfactory response to their complaints. ,frustrating,frustrate ,frustrated ,frustration ,frustrated 
The client will [MASK] sign the advertising contract for her company’s interior decoration services if we agree to the changes she requested. ,frequently ,candidly ,correctly ,probably ,probably 
Trainees in the project implementation division are encouraged to assist [MASK] in order to build a strong team spirit. ,another,other ,one another ,the other,one another 
The museum stores [MASK] damaged paintings in a dark and moisture-free room before repairing or restoring them. ,its,them ,it ,theirs,its 
"Although Bill Wesson is a busy businessman, he is a [MASK] figure at Golf World, a golf course popular with celebrities and politicians. ",familiar ,natural ,respective ,confidential,familiar 
Grace Peterson was given a performance bonus for having worked the [MASK] of all the call center agents on her team. ,hardly ,harden ,hardest ,hardness,hardest 
Ms. Ramos brought her car to a motor shop upon learning that the [MASK] between the headlights and the switch was malfunctioning. ,reception,bridge ,acquaintance ,connection ,connection 
Green Environment was given funding [MASK] research on the effects of magnetic radiation from mobile phones on bees and other insects. ,by ,for ,at ,with,for 
"Some of the employees do not understand the [MASK] regarding leave days, so the supervisor will meet with them to explain it. ",organization,settlement ,regulation ,improvement,regulation 
"The information that Anne obtained from the Internet site was incorrect, and [MASK] the report could not be submitted on time. ",consequence ,consequently ,consequential ,consequent,consequently 
"In an [MASK] to cut down on company expenses, an administrative assistant purchased cheaper raw materials from a new supplier. ",effortless ,effortlessly ,effort ,effortful,effort 
"During the election campaign, the [MASK] took part in a comprehensive debate that was televised nationally. ",possibilities ,subscribers ,candidates ,newcomers,candidates 
[MASK] are the investors’ concerns about the latest venture that the company is proposing for the upcoming year. ,These,This ,Them ,That,These 
"Infant Plus, a German-based company with branches in Asia and South America, has been the [MASK] manufacturer of baby products for the past decade. ",expected ,frontal ,leading ,urgent,leading 
Anyone who wishes to enter the Rare Books section of Mabuz Library will have to get the [MASK] of the chief librarian. ,approvable ,approving ,approved ,approval,approval
Artist Abigail O’Brien was interviewed on a radio show yesterday about her [MASK] launched collection of abstract paintings. ,approximately ,consistently ,generally ,recently,recently
"The new research head is strict about having accurate information, so please make sure to check your data more [MASK] . ",complete,completeness ,completely ,completion,completely 
"According to the survey, people purchase smaller cars for lack of financing, but their personal [MASK] is the more expensive sports utility vehicle. ",preference ,rejection ,advantage ,recognition,preference 
A poll conducted by the newspaper shows that the leading candidate is now [MASK] the other aspirants by about 11 percent. ,due to,apart from ,ahead of ,along with,ahead of 
"Allergy-tested and one hundred percent fragrance-free, all our body soaps and perfumes are [MASK] for people with sensitive skin. ",suits ,suitable ,suitably ,suitability ,suitable 
"A recent study indicated that 65 percent of today’s single, young professionals make real estate purchases for [MASK] . ",their ,they ,theirs ,themselves,themselves
Barbara White makes it a point to leave for work as early as 6 in the morning [MASK] she can avoid the traffic that builds up on Roslyn Avenue. ,even though ,instead of ,so that ,due to,so that 
"Steve and Jerry first met [MASK] a seminar on campus, and they are now partners in one of the country’s leading architectural firms. ",around ,at ,to ,by,at 
The advertising head met with his staff to [MASK] the failure of the advertising campaign for a new soft drink. ,discussed ,discussion ,discussing ,discuss ,discuss 
"The hiring committee could not [MASK] a candidate from the shortlist, so they requested the executive officer to make the choice. ",selection ,select ,selected ,selecting,select 
"Christian, one of the newly-hired crew members of Whaco Loco Pizza, is in charge of making sure that all orders are delivered [MASK] . ",promptly ,recently ,gracefully ,energetically,promptly 
"The basic [MASK] for the executive secretary position are listed in the advertisement, but a more comprehensive description is posted online. ",qualify ,qualifies ,qualifying ,qualifications,qualifications
"On Friday, art training [MASK] will simultaneously begin at 4:30 P.M. and will be followed by an informal dinner at 7 P.M. ",pieces ,sessions ,divisions ,terms,sessions 
Patricia must submit her application to the person [MASK] the forms before she leaves the office. ,collecting,collected ,collection ,collects ,collecting 
"[MASK] the business report was completed on time, it contained many errors and had to be returned and rewritten. ",Despite ,Because ,Although ,Throughout ,Although 
Miriam is happy with her new factory assignment as it is less [MASK] than the previous work she was doing. ,repetitively ,repetitive ,repetitiveness ,repetition,repetitive 
The acoustics at the music center are so good that people outside cannot hear the sounds coming from [MASK] the practice rooms. ,within ,before ,alongside ,amongst,within 
The agency’s tour of the French countryside is so delightful that visitors who [MASK] it before often sign up again. ,are joining ,join ,to join ,have joined,have joined
The art community believes that the true mark of a painter is when fellow artists give his or her works their [MASK] . ,recognition ,admission ,sensibility ,discovery,recognition 
The shipping company guarantees delivery of packages in the contiguous United States [MASK] three days if they are sent before the holiday season begins. ,between ,along ,among ,within,within
An examination of the floor plan of a building constructed in the 1960s indicates that both of its fire exits [MASK] near the service elevator. ,are located ,located ,locate ,have located,are located 
"For a limited time only, The Homeland is giving [MASK] of up to 50 percent on all countertops and dining room furniture. ",discounted ,discounting ,discountable ,discounts,discounts
"The staff, [MASK] by the loud noise in the hallway, stopped working to check what caused it. ",alarms,alarming ,alarmed ,alarm,alarmed 
The editor requested a contributor to [MASK] a series of articles on the problems of minorities in the country. ,record ,write ,enact ,convey ,write 
Some of the workers complained that the factory puts them on forced leave because there is less work to do [MASK] winter. ,besides ,despite ,during ,among,during 
The delegates were reminded to wear their convention badges [MASK] their clothing at all times to make it easy for security to identify outsiders. ,by,to ,on ,with,on 
The executive officer instructed the speakers to give a [MASK] presentation to help the investors focus on the advantages of the proposed project. ,simply,simplify ,simple ,simplicity,simple 
The receptionist told the media personnel that [MASK] the director nor his assistant would be available for an interview in the coming weeks. ,each other ,neither ,anywhere ,either,neither 
"After studying several investment alternatives in the area, Nathan decided to establish a house cleaning company with [MASK] sister, Amy. ",he ,him ,his ,himself,his 
"During the office expansion project, Mr. Allen [MASK] came in early and stayed late so that his team could meet important deadlines. ",often,soon ,previously ,currently ,often 
"The speaker at the job orientation session said that to [MASK] a regular employee, trainees must meet the sales quota by the end of the probationary period. ",became ,become ,becoming ,becomes,become 
Finance experts around the world [MASK] the economic decline to slow down by early next year as trade in Europe and Asia begins rising. ,to expect ,expecting ,expects ,expect,expect
Profit earnings for many types of export products in the country dropped by 10 percent [MASK] the sudden drop in value of the local currency. ,because of ,except for ,even though ,provided that,because of 
"The most promising candidate in the group has a solid educational background and excellent skills, but he is lacking in [MASK] . ",validity ,approval ,promotion ,confidence,confidence
The purchasing officer gave me a complete list of the company’s suppliers and asked me to contact [MASK] to update their information. ,what ,him ,they ,them,them
The agreement signed by Freewell Electronics [MASK] Megabyte Computers requires the latter to provide semiconductors on a monthly basis. ,but ,and ,so ,yet,and 
"[MASK] the book released last month was a big seller, it was not enough to save the publishing company from applying for bankruptcy. ",Although ,Despite ,Following ,Before ,Although 
"To control cash flow, the finance officer oversees the [MASK] of resources being expended in the company’s day-to-day business operations. ",reason,content ,amount ,gravity ,amount 
"Both Nestor Arroyo [MASK] Katy Crowe, two of our overseas correspondents, will deliver live news reports from the Global Auto Expo in Moscow. ",but ,and ,or ,yet,and 
First National Community Bank has [MASK] extended its operating hours on Fridays to service clients transacting business before the weekend. ,recent,recently ,recentness ,less recent ,recently 
The CEO said that the [MASK] in product demand was temporary and that production at the assembly plant should continue at the same rate. ,decrease ,decreased ,decreasing ,to decrease,decrease 
The organizers of the concert [MASK] that the total cost of the event will probably run into the hundreds of thousands of dollars. ,interpret ,demand ,imagine ,estimate,estimate
Steve Booth is the company’s most [MASK] negotiator and was assigned to meet with the client about the changes on the contract. ,dependable ,dependably ,depend ,dependability,dependable 
The book advises bird watchers to sit or stand [MASK] while they watch birds through binoculars to avoid frightening them away. ,along ,likewise ,again ,still,still
Jeremy called to say that he would not be able to watch the final game with us because he has an important term paper [MASK] . ,revision ,revised ,to revise ,revising,to revise 
The curator met with the security staff to emphasize the [MASK] of following the protocol for securing valuable items in the museum. ,more importantly ,importantly ,most important ,importance,importance
The Traffic Office [MASK] that more than three hundred thousand people would attend the town’s parade. ,predict ,prediction ,predicted ,predictability,predicted 
All legal consultations with the corporate lawyer are scheduled three days in advance as these [MASK] require preparation. ,principles ,developments ,appointments ,alternatives,appointments 
"After careful [MASK] of the company’s financial situation, the board of directors agreed to sell a majority of its stock to an investor. ",consideration ,perseverance ,vigilance ,development,consideration 
The radio announcer cautioned motorists to drive [MASK] as the streets and highways are covered with a thick layer of ice. ,attentive ,attention ,attentiveness ,attentively,attentively
Some of the best software designers in the country [MASK] in a series of technology articles in the magazine Computers Today next month. ,have been profiled ,will be profiled ,are profiled ,was profiling,will be profiled 
The organizer plans to change the concert venue to a larger hall [MASK] more customers than expected make reservations for seats. ,unless ,excluding ,despite ,if,if
"Although most of the training sessions are designed for [MASK] , some are geared towards developing needed qualities in team leaders. ",delegates ,recruits ,spectators ,authorities,recruits 
Trade shows are important events because it is [MASK] these venues that connections are often made through representatives. ,toward ,until ,to ,at,at
"Whether you are a professional or amateur photographer, Chroma camera lens filters will [MASK] the color and sharpness of your landscape photographs. ",enhance ,accelerate ,substitute ,compliment,enhance 
The board of directors is convening with top managers this morning to make [MASK] decisions regarding the company’s future. ,critically ,critical ,criticality ,criticalness,critical 
The supervisor reminded the staff that [MASK] who are interested in transferring to the Austin branch should submit a request by tomorrow. ,many ,both ,any ,one,any 
The public relations department held a press conference in [MASK] to media queries about the company’s plans to lay off workers. ,respond ,responsive ,response ,responded,response 
The company’s executive officer said that the launch of its new mobile phone would proceed [MASK] the recent economic decline. ,despite ,once ,barring ,anyhow,despite 
A warehouse personnel [MASK] packed an enormous crystal chandelier and a fragile glass vase to be shipped to an overseas address. ,careful ,carefulness ,care ,carefully ,carefully 
The country’s manufacturing sector as well as its export industry was [MASK] affected by the poor economic conditions in North America. ,precisely ,calmly ,severely ,securely,severely 
Employees joining the company [MASK] to Creteland Plantation are asked to register at the personnel department by the end of the week. ,proposal ,schedule ,cooperation ,excursion,excursion
"The marketing committee ensured that sponsors would provide pans, ovens, and [MASK] cooking implements for the culinary competition. ",other ,others ,another ,each other,other 
Your [MASK] and aptitude in the workplace have impressed the hiring committee and made you one of the strongest candidates for the position. ,conditions ,qualifications ,privileges ,modifications,qualifications 
"[MASK] the artist had not so quickly sold a portrait he completed early in his career, he would have made millions off the painting. ",Easily ,If only ,Even though ,Unless,If only 
"The much-awaited symphony concert will [MASK] in Bellweather Music Hall, where the first Italian opera in the country was held. ",take place ,catch up ,go through ,play up,take place 
Customer representatives reported that a [MASK] complaint of the company’s subscribers is that Internet connection was much too slow. ,commonly ,commonness ,common ,commonality,common 
"After explaining the capabilities of the company’s new computer tablet, the speaker [MASK] demonstrated one of its functions. ",exactly ,fairly ,mostly ,briefly,briefly
"[MASK] by progressive competitors, Novel Phone Company lost its favored standing in the industry and withdrew from the market. ",Surpassing ,Surpassed ,Surpass ,Surpasses,Surpassed 
"With one of the presenters running late due to heavy traffic, the announcer apologized to the conference participants for the [MASK] . ",term ,interval ,retreat ,delay,delay
Customers [MASK] gift wrapping orders were placed thirty minutes before closing time may claim the items the following day. ,those ,whose ,which ,that,whose 
"In his class on learning a second language, Mr. Brooks [MASK] to present a new technique he created for communicating in a foreign language. ",attempted,completed ,guarded ,attracted ,attempted 
"At the book launch held this morning, the [MASK] author spoke about his latest novel and signed copies purchased by customers. ",celebrate ,celebration ,celebrated ,celebrating,celebrated 
The invitations sent out by the company indicate that the event would be a(n) [MASK] one and that guests should be dressed in casual attire. ,remote ,informal ,sparkling ,familiar,informal 
